Periodo,Total
2016/11,"15,842,285"
2016/12,"15,994,775"
2017/01,"16,304,015"
2017/02,"16,388,794"
2017/03,"16,296,125"
2017/04,"15,830,073"
2017/05,"15,922,960"
2017/06,"15,817,906"
2017/07,"16,525,901"
2017/08,"16,166,051"
2017/09,"15,868,029"
2017/10,"16,480,497"
2017/11,"16,105,301"
2017/12,"16,268,286"
2018/01,"16,680,862"
2018/02,"16,316,669"
2018/03,"16,518,565"
2018/04,"16,308,967"
2018/05,"16,207,735"
2018/06,"16,374,048"
2018/07,"16,227,532"
2018/08,"16,068,241"
2018/09,"15,996,865"
2018/10,"16,097,430"
2018/11,"16,412,634"
2018/12,"16,681,879"
2019/01,"16,066,735"
2019/02,"16,834,048"
2019/03,"16,924,506"
2019/04,"16,219,798"
2019/05,"16,391,296"
2019/06,"16,966,728"
2019/07,"16,364,279"
2019/08,"16,499,660"
2019/09,"16,768,179"
2019/10,"16,350,211"
2019/11,"16,804,273"
2019/12,"16,894,075"
2020/01,"16,524,827"
2020/02,"16,818,085"
2020/03,"17,461,963"
2020/04,"12,272,293"
2020/05,"12,971,599"
2020/06,"13,830,960"
2020/07,"13,847,781"
2020/08,"14,317,585"
2020/09,"14,669,113"
2020/10,"15,455,742"
2020/11,"15,864,485"
2020/12,"15,757,627"
2021/01,"14,970,359"
2021/02,"15,720,066"
2021/03,"16,234,493"
2021/04,"16,310,536"
2021/05,"15,873,662"
2021/06,"16,234,009"
2021/07,"16,255,524"
2021/08,"15,956,827"
2021/09,"16,568,664"
2021/10,"15,944,690"
2021/11,"16,091,830"
2021/12,"16,880,947"
2022/01,"15,839,383"
2022/02,"15,967,164"
2022/03,"17,101,317"
2022/04,"16,981,469"
2022/05,"16,279,502"
2022/06,"16,786,710"
2022/07,"16,736,587"
2022/08,"16,371,916"
2022/09,"16,437,459"
2022/10,"16,811,191"
2022/11,"16,953,912"
2022/12,"16,274,706"
2023/01,"16,958,733"
2023/02,"17,145,913"
2023/03,"17,404,322"
2023/04,"16,737,663"
2023/05,"16,978,406"
2023/06,"17,202,387"
2023/07,"17,178,650"
2023/08,"17,225,960"
2023/09,"16,951,155"
